feature,gain
opp_old,18.41008949279785
cust_hitrate,5.160377502441406
competitor_Z,3.603011131286621
product_A_recommended,3.547884702682495
cust_interactions,3.528917074203491
competitor_Y,3.494488477706909
product_B_sold_in_the_past,3.4495859146118164
product_A_sold_in_the_past,3.2140424251556396
cust_in_iberia,2.973336696624756
cust_contracts,2.8108582496643066
product_C,2.742382049560547
opp_month,2.739393711090088
competitor_X,2.2979605197906494
product_A,2.178236722946167
product_D,1.4213792085647583
